,Duration (in seconds),Age,Gender,Residential country,Student?,TPU experience
1,121,30-34,Man,India,No,
2,462,30-34,Man,Algeria,No,
3,293,18-21,Man,Egypt,Yes,
4,851,55-59,Man,France,No,2-5 times
5,232,45-49,Man,India,Yes,
6,277,18-21,Woman,India,Yes,
7,1550,18-21,Man,India,Yes,
8,501,30-34,Man,Germany,No,
9,787,70+,Man,Australia,No,Never
10,222,22-24,Man,Other,Yes,
11,470,55-59,Man,South Korea,No,
12,369,55-59,Man,Egypt,Yes,
13,7548,35-39,Man,India,No,
14,1132,40-44,Man,United States of America,No,2-5 times
15,414,35-39,Man,Pakistan,Yes,
16,171,22-24,Man,Mexico,Yes,
17,679,40-44,Man,United States of America,No,More than 25 times
18,10619,30-34,Man,United States of America,No,Never
19,587,50-54,Man,Singapore,No,2-5 times
20,676,25-29,Man,Italy,No,
21,542,30-34,Man,Taiwan,No,
22,174,25-29,Woman,China,Yes,
23,260,35-39,Woman,India,No,
24,323,25-29,Man,Argentina,Yes,
25,404,35-39,Man,Turkey,No,
26,2481,25-29,Man,Brazil,No,Never
27,301,18-21,Man,Nigeria,Yes,
28,772,60-69,Woman,Argentina,No,Never
29,433,45-49,Man,United States of America,Yes,
30,1481,35-39,Man,Chile,No,Once
31,815,22-24,Prefer not to say,Singapore,Yes,
32,261,40-44,Man,Other,No,
33,623,30-34,Man,Other,No,Never
34,489,35-39,Man,Italy,No,
35,249,18-21,Man,India,Yes,
36,506,25-29,Man,Japan,No,Never
37,343,40-44,Man,India,No,
38,301,30-34,Man,Mexico,Yes,
39,298,25-29,Man,India,Yes,
40,333,30-34,Man,India,Yes,
41,369,22-24,Woman,Canada,No,
42,14658,50-54,Man,Indonesia,No,Never
43,429,40-44,Man,India,No,
44,1162,22-24,Man,India,No,Never
45,223,35-39,Woman,Israel,Yes,
46,1103,40-44,Man,Colombia,No,Never
47,349,22-24,Man,India,Yes,
48,166,18-21,Man,India,Yes,
49,645,35-39,Man,France,No,Never
50,548,45-49,Man,Brazil,Yes,
51,796,40-44,Man,Other,No,
52,8632,18-21,Man,India,Yes,
53,507,25-29,Woman,Indonesia,Yes,
54,1610,35-39,Man,Egypt,No,
55,502,35-39,Man,Turkey,Yes,
56,561,30-34,Man,India,Yes,
57,341,22-24,Man,Egypt,Yes,
58,895,35-39,Man,India,No,2-5 times
59,198,30-34,Man,Turkey,No,
60,336,25-29,Woman,Pakistan,Yes,
61,162,18-21,Man,India,Yes,
62,148,30-34,Man,Pakistan,Yes,
63,642,18-21,Man,Russia,Yes,
64,992,40-44,Man,Pakistan,No,Never
65,427,18-21,Man,India,Yes,
66,547,18-21,Woman,Other,Yes,
67,344,18-21,Man,Colombia,Yes,
68,834,30-34,Man,India,Yes,
69,150,35-39,Woman,India,No,
70,232,22-24,Man,Nigeria,Yes,
71,283,22-24,Woman,China,Yes,
72,492,40-44,Man,Japan,No,
73,389,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Yes,
74,214,30-34,Woman,Canada,No,
75,13731,30-34,Man,India,No,
76,592,25-29,Man,India,No,Never
77,632,25-29,Man,Russia,Yes,
78,473,22-24,Man,India,Yes,
79,224,22-24,Man,India,Yes,
80,449,40-44,Man,Other,No,
81,611,18-21,Man,India,Yes,
82,422,50-54,Man,Canada,No,2-5 times
83,168,55-59,Woman,United States of America,No,
84,985,30-34,Man,Japan,No,Once
85,162,35-39,Man,United States of America,No,
86,565,18-21,Man,India,Yes,
87,1067,25-29,Man,Ethiopia,Yes,
88,498,18-21,Man,India,Yes,
89,146,22-24,Man,India,Yes,
90,252,18-21,Woman,India,Yes,
91,132,18-21,Woman,Egypt,Yes,
92,203,22-24,Man,South Africa,Yes,
93,296,18-21,Man,India,Yes,
94,207,30-34,Man,France,Yes,
95,5261,25-29,Man,India,No,
96,125,25-29,Woman,United States of America,Yes,
97,309,30-34,Man,India,No,
98,963,35-39,Man,India,No,
99,551,22-24,Man,India,No,
100,297,18-21,Man,India,Yes,
101,267,22-24,Man,Turkey,Yes,
102,193,18-21,Man,India,Yes,
103,3524,22-24,Man,Pakistan,No,Never
104,207,25-29,Man,Indonesia,Yes,
105,401,35-39,Man,United States of America,Yes,
106,1147,30-34,Woman,Pakistan,No,
107,299,25-29,Man,South Korea,Yes,
108,464,22-24,Man,Pakistan,Yes,
109,512,40-44,Man,Viet Nam,Yes,
110,1074,25-29,Man,India,Yes,
111,808,50-54,Man,Israel,No,Never
112,380,18-21,Man,Viet Nam,Yes,
113,195,30-34,Man,India,Yes,
114,3870,35-39,Man,India,No,
115,326,30-34,Man,India,No,2-5 times
116,126,22-24,Man,India,Yes,
117,458,18-21,Man,India,Yes,
118,176,25-29,Man,Chile,Yes,
119,525,22-24,Man,India,Yes,
120,356,40-44,Woman,Canada,No,
121,268,18-21,Nonbinary,China,Yes,
122,577,22-24,Man,Mexico,No,
123,378,30-34,Man,South Korea,Yes,
124,883,30-34,Man,Japan,No,2-5 times
125,139,35-39,Woman,India,No,
126,398,22-24,Man,Other,No,Never
127,23199,30-34,Man,United States of America,Yes,
128,1722,45-49,Man,Australia,No,Never
129,148,18-21,Man,India,Yes,
130,218,25-29,Man,United States of America,No,
131,246,35-39,Man,Italy,No,
132,227,22-24,Man,Italy,Yes,
133,307,22-24,Woman,Indonesia,Yes,
134,1141,55-59,Man,Colombia,No,
135,41827,35-39,Man,Brazil,Yes,
136,666,35-39,Man,Turkey,No,2-5 times
137,749,45-49,Man,India,No,Never
138,234,22-24,Man,Kenya,Yes,
139,417,22-24,Man,Japan,Yes,
140,442,40-44,Man,Spain,No,Never
141,334,22-24,Man,India,Yes,
142,286,18-21,Man,"Iran, Islamic Republic of...",Yes,
143,339,25-29,Man,India,No,
144,1726727,40-44,Man,Cameroon,No,
145,179,45-49,Man,Brazil,Yes,
146,140,22-24,Man,United States of America,No,
147,229,18-21,Woman,Pakistan,Yes,
148,394,25-29,Man,Brazil,Yes,
149,528,25-29,Man,Pakistan,No,
150,212,22-24,Man,India,Yes,
151,351,35-39,Man,Brazil,No,
152,419,18-21,Man,India,Yes,
153,535,22-24,Man,India,Yes,
154,210,25-29,Woman,Israel,Yes,
155,373,45-49,Woman,Spain,No,
156,252,18-21,Man,China,Yes,
157,398,30-34,Woman,India,No,
158,213,18-21,Man,India,Yes,
159,4756,35-39,Woman,Nigeria,No,
160,738,25-29,Man,Japan,No,Never
161,86673,30-34,Man,India,No,Never
162,143,25-29,Man,India,Yes,
163,244,30-34,Man,Turkey,No,
164,446,50-54,Man,United States of America,No,Never
165,574,35-39,Man,India,No,Never
166,264,18-21,Woman,India,Yes,
167,185,30-34,Man,Italy,No,
168,332,22-24,Man,Tunisia,Yes,
169,269,22-24,Woman,Other,Yes,
170,564,22-24,Man,United States of America,No,
171,223,18-21,Man,Nigeria,Yes,
172,128,40-44,Man,Peru,Yes,
173,1105,45-49,Man,India,No,2-5 times
174,143,30-34,Woman,United States of America,No,
175,375,22-24,Man,India,Yes,
176,192,18-21,Woman,India,Yes,
177,377,45-49,Man,South Korea,Yes,
178,3032,25-29,Woman,Germany,No,Never
179,154,35-39,Woman,India,No,
180,200,25-29,Woman,Colombia,Yes,
181,260,18-21,Man,India,Yes,
182,405,18-21,Man,Pakistan,Yes,
183,335,18-21,Man,Russia,Yes,
184,185,25-29,Man,Nepal,Yes,
185,593,35-39,Man,Other,No,Never
186,833,25-29,Man,India,No,Never
187,228,45-49,Man,Spain,Yes,
188,345,25-29,Man,United States of America,Yes,
189,307,25-29,Man,Morocco,Yes,
190,165,30-34,Woman,India,No,
191,382,22-24,Man,Colombia,No,
192,412,60-69,Man,Colombia,No,
193,244,25-29,Man,United States of America,No,
194,529,45-49,Man,Japan,No,
195,398,18-21,Man,United States of America,Yes,
196,425,22-24,Man,India,Yes,
197,142,18-21,Woman,Indonesia,Yes,
198,775,25-29,Man,India,No,Never
199,393,25-29,Man,Nigeria,Yes,
200,310,18-21,Woman,India,Yes,
201,932,35-39,Man,United States of America,No,Never
202,299,30-34,Man,Other,No,
203,356,22-24,Man,India,No,
204,1156,30-34,Man,India,No,Once
205,251,60-69,Man,Argentina,No,
206,477,30-34,Man,United States of America,No,Never
207,200,30-34,Man,China,Yes,
208,297,45-49,Man,United States of America,No,2-5 times
209,466,22-24,Man,China,Yes,
210,368,22-24,Woman,India,Yes,
211,447,45-49,Man,United States of America,No,Never
212,148,18-21,Man,Peru,Yes,
213,392,22-24,Man,Turkey,No,
214,727,25-29,Man,India,No,
215,516,35-39,Man,India,Yes,
216,371,18-21,Prefer not to say,India,Yes,
217,340,25-29,Prefer not to say,India,No,
